ID,Iso_ID,reference,DOI,site_id,date,latlong,latlong_n,year,site_description,catchment_name,compound,d13C_value_permil,d13C_uncertainty,d13C_uncertainty_unit,dD.CH4_value_permil,dD.CH4_uncertainty,dD.CH4_uncertainty_unit,pub_code_prefix,pub_code_number,F14C_value,F14C_value_uncertainity,F14C_value_uncertainity_unit,D14C_permil_value,D14C_permil_value_uncertainty,D14C_permil_value_uncertaint_unit,radiocarbon_age,radiocarbon_age_uncertainty,pH,latitude,longitude,country,hemisphere,Atm_14CO2,norm_F14C,water_type,method,comment,temperature_celsius,coordinate_flag,uncertainity.flag,watershed_size_exact_km2,watershed_size_indicative_km2,size_class,size_class_multi,catchment_area_km2,dis_m3_pyr,lka_pc_use,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,snw_pc_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,kar_pc_use,ero_kh_uav,urb_pc_use,hft_ix_u09,ele_mt_cav,tmp_dc_cyr,pre_mm_cyr,ari_ix_cav,snw_pc_cyr,wet_pc_cg2,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse,ero_kh_cav,urb_pc_cse,hft_ix_c09,gwt_cm_cav,tbi_cl_cmj,fmh_cl_cmj,lit_cl_cmj,DIC_conc
279,2231,"Jull, A., Burr, G., Leonard, A., Fitzgerald, J., Cheng, L., Cruz, R., & Biddulph, D. (2019). Dissolved Inorganic and Organic Carbon in an Ephemeral Fresh Water Stream in Southern Arizona. Radiocarbon, 61(5): 1531-1539.",https://doi.org/10.1017/RDC.2019.46,Sabino Creek,03/05/2012,-78.49303,4,2012,Ephermeral Stream,Sabino Creek,DIC,-17.2,0.1,permil,NA,NA,,,,1.034,0.005,fraction modern,26,9.9,permil,modern,NA,,32.31667,-110.8097,USA,N,1.0381,0.996,River,"2l of water collected in the field, the split into smaller sample and acidified with phosphoric acid in the lab. Followed Ariozona AMS protocols",,NA,A,A,NA,91,large,100,105.5,0.054,0,1792,188,140,592,47,2,0,97,0,23,0,0,0,16,33,51,28,0,11756,0,75,1220,177,444,30,0,0,87,0,28,0,0,0,17,31,52,14,0,15855,1,128,879,13,4,1,NA
280,2232,"Jull, A., Burr, G., Leonard, A., Fitzgerald, J., Cheng, L., Cruz, R., & Biddulph, D. (2019). Dissolved Inorganic and Organic Carbon in an Ephemeral Fresh Water Stream in Southern Arizona. Radiocarbon, 61(5): 1531-1539.",https://doi.org/10.1017/RDC.2019.46,Sabino Creek,17/08/2012,-78.49303,4,2012,Ephermeral Stream,Sabino Creek,DIC,-11.8,0.1,permil,NA,NA,,,,0.934,0.004,fraction modern,-73,7.9,permil,548,34.5,,32.31667,-110.8097,USA,N,1.0381,0.8997,River,"2l of water collected in the field, the split into smaller sample and acidified with phosphoric acid in the lab. Followed Ariozona AMS protocols",,NA,A,A,NA,91,large,100,105.5,0.054,0,1792,188,140,592,47,2,0,97,0,23,0,0,0,16,33,51,28,0,11756,0,75,1220,177,444,30,0,0,87,0,28,0,0,0,17,31,52,14,0,15855,1,128,879,13,4,1,NA
281,2233,"Jull, A., Burr, G., Leonard, A., Fitzgerald, J., Cheng, L., Cruz, R., & Biddulph, D. (2019). Dissolved Inorganic and Organic Carbon in an Ephemeral Fresh Water Stream in Southern Arizona. Radiocarbon, 61(5): 1531-1539.",https://doi.org/10.1017/RDC.2019.46,Sabino Creek,15/09/2012,-78.49303,4,2012,Ephermeral Stream,Sabino Creek,DIC,-12.2,0.1,permil,NA,NA,,,,0.885,0.004,fraction modern,-122,7.9,permil,981,36.5,,32.31667,-110.8097,USA,N,1.0381,0.8525,River,"2l of water collected in the field, the split into smaller sample and acidified with phosphoric acid in the lab. Followed Ariozona AMS protocols",,NA,A,A,NA,91,large,100,105.5,0.054,0,1792,188,140,592,47,2,0,97,0,23,0,0,0,16,33,51,28,0,11756,0,75,1220,177,444,30,0,0,87,0,28,0,0,0,17,31,52,14,0,15855,1,128,879,13,4,1,NA
282,2234,"Jull, A., Burr, G., Leonard, A., Fitzgerald, J., Cheng, L., Cruz, R., & Biddulph, D. (2019). Dissolved Inorganic and Organic Carbon in an Ephemeral Fresh Water Stream in Southern Arizona. Radiocarbon, 61(5): 1531-1539.",https://doi.org/10.1017/RDC.2019.46,Sabino Creek,20/01/2016,-78.49303,3,2016,Ephermeral Stream,Sabino Creek,DIC,-4.7,0.1,permil,NA,NA,,,,1.023,0.003,fraction modern,15,6,permil,modern,NA,,32.31667,-110.8097,USA,N,1.019,1.0039,River,"2l of water collected in the field, the split into smaller sample and acidified with phosphoric acid in the lab. Followed Ariozona AMS protocols",,NA,A,A,NA,91,large,100,105.5,0.054,0,1792,188,140,592,47,2,0,97,0,23,0,0,0,16,33,51,28,0,11756,0,75,1220,177,444,30,0,0,87,0,28,0,0,0,17,31,52,14,0,15855,1,128,879,13,4,1,NA
283,2235,"Jull, A., Burr, G., Leonard, A., Fitzgerald, J., Cheng, L., Cruz, R., & Biddulph, D. (2019). Dissolved Inorganic and Organic Carbon in an Ephemeral Fresh Water Stream in Southern Arizona. Radiocarbon, 61(5): 1531-1539.",https://doi.org/10.1017/RDC.2019.46,Sabino Creek,15/09/2016,-78.49303,3,2016,Ephermeral Stream,Sabino Creek,DIC,-11.3,0.1,permil,NA,NA,,,,1.036,0.005,fraction modern,28,9.9,permil,modern,NA,,32.31667,-110.8097,USA,N,1.019,1.0167,River,"2l of water collected in the field, the split into smaller sample and acidified with phosphoric acid in the lab. Followed Ariozona AMS protocols",,NA,A,A,NA,91,large,100,105.5,0.054,0,1792,188,140,592,47,2,0,97,0,23,0,0,0,16,33,51,28,0,11756,0,75,1220,177,444,30,0,0,87,0,28,0,0,0,17,31,52,14,0,15855,1,128,879,13,4,1,NA
284,2236,"Jull, A., Burr, G., Leonard, A., Fitzgerald, J., Cheng, L., Cruz, R., & Biddulph, D. (2019). Dissolved Inorganic and Organic Carbon in an Ephemeral Fresh Water Stream in Southern Arizona. Radiocarbon, 61(5): 1531-1539.",https://doi.org/10.1017/RDC.2019.46,Sabino Creek,15/09/2016,-78.49303,3,2016,Ephermeral Stream,Sabino Creek,DIC,-11.6,0.1,permil,NA,NA,,,,0.978,0.003,fraction modern,-30,6,permil,179,24.5,,32.31667,-110.8097,USA,N,1.019,0.9597,River,"2l of water collected in the field, the split into smaller sample and acidified with phosphoric acid in the lab. Followed Ariozona AMS protocols",,NA,A,A,NA,91,large,100,105.5,0.054,0,1792,188,140,592,47,2,0,97,0,23,0,0,0,16,33,51,28,0,11756,0,75,1220,177,444,30,0,0,87,0,28,0,0,0,17,31,52,14,0,15855,1,128,879,13,4,1,NA
285,2237,"Jull, A., Burr, G., Zhou, W., Cheng, P., Song, S., Leonard, A., Cheng, L., An, Z. (2014). 14C Measurements of Dissolved Inorganic and Organic Carbon in Qinghai Lake and Inflowing Rivers (NE Tibet, Qinghai Plateau), China. Radiocarbon, 56(3): 1115-1127. ",https://doi.org/10.2458/56.17776,Da Tong He,01/10/2009,137.31429,1,2009,River,Da Tong He,DIC,-6.3,0.1,permil,NA,NA,,,,1.0148,0.0037,1 sd,8,7.3,permil,modern,NA,,36.51729,100.797,China,N,1.0508,0.9658,River,Acidiciation to CO2 and AMS,Uncertainty assumed based on most studies coming from NOSAMS,NA,C,B,15130,15130,large,100000,747.2,0.603,4,3472,62,-2,378,54,2,0,1,1,99,0,0,7,17,39,44,47,16,2181,1,90,3214,11,351,46,1,4,0,1,94,5,0,0,10,29,61,32,0,107,0,61,63,10,3,3,NA
286,2238,"Jull, A., Burr, G., Zhou, W., Cheng, P., Song, S., Leonard, A., Cheng, L., An, Z. (2014). 14C Measurements of Dissolved Inorganic and Organic Carbon in Qinghai Lake and Inflowing Rivers (NE Tibet, Qinghai Plateau), China. Radiocarbon, 56(3): 1115-1127. ",https://doi.org/10.2458/56.17776,Heima He,01/10/2009,136.46561,1,2009,River,Heima He,DIC,-10.5,0.1,permil,NA,NA,,,,0.9842,0.0036,1 sd,-23,7.1,permil,128,30,,36.7372,99.72841,China,N,1.0508,0.9367,River,Acidiciation to CO2 and AMS,Uncertainty assumed based on most studies coming from NOSAMS,NA,C,B,107,107,large,1000,118.1,0.059,0,3548,97,-10,301,44,1,0,0,2,98,0,0,8,19,37,45,63,33,3006,0,116,3324,2,291,39,1,0,0,4,96,0,0,0,18,39,43,49,17,666,0,126,175,10,3,1,NA
287,2239,"Jull, A., Burr, G., Zhou, W., Cheng, P., Song, S., Leonard, A., Cheng, L., An, Z. (2014). 14C Measurements of Dissolved Inorganic and Organic Carbon in Qinghai Lake and Inflowing Rivers (NE Tibet, Qinghai Plateau), China. Radiocarbon, 56(3): 1115-1127. ",https://doi.org/10.2458/56.17776,Buha He,01/10/2009,136.72224,1,2009,River,Buha He,DIC,-7,0.1,permil,NA,NA,,,,0.8969,0.0034,1 sd,-109,6.8,permil,874,30,,37.06943,99.65281,China,N,1.0508,0.8536,River,Acidiciation to CO2 and AMS,Uncertainty assumed based on most studies coming from NOSAMS,NA,C,B,14337,14337,large,100000,13523.9,16.51,0,4022,96,-41,292,53,5,0,0,0,86,0,0,57,16,34,50,66,15,6023,0,52,3214,7,279,37,1,0,0,1,79,7,0,0,16,41,43,35,0,137,0,91,5,10,3,9,NA
288,2240,"Jull, A., Burr, G., Zhou, W., Cheng, P., Song, S., Leonard, A., Cheng, L., An, Z. (2014). 14C Measurements of Dissolved Inorganic and Organic Carbon in Qinghai Lake and Inflowing Rivers (NE Tibet, Qinghai Plateau), China. Radiocarbon, 56(3): 1115-1127. ",https://doi.org/10.2458/56.17776,Shaliu He,01/10/2009,137.50831,1,2009,River,Shaliu He,DIC,-9.1,0.1,permil,NA,NA,,,,0.8484,0.0032,1 sd,-158,6.4,permil,1321,31,,37.40431,100.104,China,N,1.0508,0.8074,River,Acidiciation to CO2 and AMS,Uncertainty assumed based on most studies coming from NOSAMS,NA,C,B,1442,1442,large,10000,1441.6,1.744,0,3841,100,-34,382,68,4,0,0,0,97,0,0,44,16,38,46,62,25,5164,0,93,3383,-5,376,56,1,0,0,0,100,0,0,4,15,39,46,26,0,1108,0,132,124,10,3,1,NA
289,2241,"Jull, A., Burr, G., Zhou, W., Cheng, P., Song, S., Leonard, A., Cheng, L., An, Z. (2014). 14C Measurements of Dissolved Inorganic and Organic Carbon in Qinghai Lake and Inflowing Rivers (NE Tibet, Qinghai Plateau), China. Radiocarbon, 56(3): 1115-1127. ",https://doi.org/10.2458/56.17776,Qianji He,01/10/2009,137.2356,1,2009,River,Qianji He,DIC,-9.3,0.1,permil,NA,NA,,,,0.9289,0.0034,1 sd,-78,6.8,permil,592,31,,37.32261,99.91299,China,N,1.0508,0.884,River,Acidiciation to CO2 and AMS,Uncertainty assumed based on most studies coming from NOSAMS,NA,C,B,567,567,large,1000,560.6,0.646,0,3814,77,-31,363,63,5,0,0,0,99,0,0,38,17,39,44,68,0,2773,0,86,3374,-5,344,50,0,0,0,1,92,5,0,1,18,43,39,45,0,1039,0,59,205,10,3,9,NA
290,2242,"Jull, A., Burr, G., Zhou, W., Cheng, P., Song, S., Leonard, A., Cheng, L., An, Z. (2014). 14C Measurements of Dissolved Inorganic and Organic Carbon in Qinghai Lake and Inflowing Rivers (NE Tibet, Qinghai Plateau), China. Radiocarbon, 56(3): 1115-1127. ",https://doi.org/10.2458/56.17776,Haergai He,01/10/2009,137.59256,1,2009,River,Haergai He,DIC,-8.2,0.1,permil,NA,NA,,,,0.6922,0.0028,1 sd,-313,5.6,permil,2955,30,,37.15196,100.4406,China,N,1.0508,0.6588,River,Acidiciation to CO2 and AMS,Uncertainty assumed based on most studies coming from NOSAMS,NA,C,B,1425,1425,large,10000,1516.5,3.294,0,3727,93,-26,415,71,4,0,0,0,97,0,0,29,18,35,46,67,81,4332,0,99,3283,2,385,54,0,0,0,2,98,1,0,0,18,41,41,33,99,262,0,85,77,10,3,1,NA
291,2243,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Tilled Corn,09/02/2009,-41.41353192,2,2009,Stream Storm Flow,WS#127,DIC,-6.5,0.1,permil,NA,NA,,,,1.0404,NA,,33,NA,,modern,NA,,40.37570192,-81.78923384,USA,N,1.0508,0.9901,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.007,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,382
292,2244,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Non-tilled corn,09/02/2009,-41.40843251,2,2009,Stream Storm Flow,WS#115,DIC,-4.9,0.1,permil,NA,NA,,,,1.0374,NA,,30,NA,,modern,NA,,40.37060403,-81.77903654,USA,N,1.0508,0.9873,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.006,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,462
293,2245,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Large mixed land use,09/02/2009,-41.42434084,4,2009,Stream Storm Flow,,DIC,-10.5,0.1,permil,NA,NA,,,,0.8762,0.0057,fraction modern,-130,11.3,permil,1061,26,,40.35925687,-81.78359771,USA,N,1.0508,0.8339,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,1.515,2,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,1496
294,2246,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Small mixed land use,09/02/2009,-41.4282231,4,2009,Stream Storm Flow,WS#166,DIC,-13,0.1,permil,NA,NA,,,,1.0011,NA,,-6,NA,,modern,NA,,40.36892054,-81.79714364,USA,N,1.0508,0.9528,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.321,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,8976
295,2247,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Pasture,09/02/2009,-41.42186145,3,2009,Stream Storm Flow,WS#182,DIC,-10.9,0.1,permil,NA,NA,,,,0.842,0.005,fraction modern,-164,10,permil,1382,24,,40.35964669,-81.78150814,USA,N,1.0508,0.8013,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.288,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,10900
296,2248,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Forested,09/02/2009,-41.43821736,4,2009,Stream Storm Flow,WS#172,DIC,-12.9,0.1,permil,NA,NA,,,,0.8893,0.0053,fraction modern,-117,10.6,permil,942,24,,40.36596491,-81.80418227,USA,N,1.0508,0.8464,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.177,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,9900
297,2249,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Tilled Corn,02/05/2009,-41.41353192,2,2009,Stream Storm Flow,WS#127,DIC,-6.4,0.1,permil,NA,NA,,,,1.0454,NA,,38,NA,,modern,NA,,40.37570192,-81.78923384,USA,N,1.0508,0.9949,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.007,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,11300
298,2250,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Non-tilled corn,02/05/2009,-41.40843251,2,2009,Stream Storm Flow,WS#115,DIC,-8,0.1,permil,NA,NA,,,,1.0535,NA,,46,NA,,modern,NA,,40.37060403,-81.77903654,USA,N,1.0508,1.0026,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.006,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,11700
299,2253,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Large mixed land use,25/10/2009,-41.42434084,4,2009,Stream Base Flow,The North Appalachian Experimental Watershed,DIC,-12.5,0.1,permil,NA,NA,,,,0.8833,0.0051,fraction modern,-123,10,permil,998,23,,40.35925687,-81.78359771,USA,N,1.0508,0.8406,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,1.515,2,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,10200
300,2254,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Small mixed land use,25/10/2009,-41.4282231,4,2009,Stream Base Flow,WS#166,DIC,-13.4,0.1,permil,NA,NA,,,,0.9286,0.0062,fraction modern,-78,12.4,permil,596,27,,40.36892054,-81.79714364,USA,N,1.0508,0.8838,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.321,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
301,2255,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Pasture,25/10/2009,-41.42186145,3,2009,Stream Base Flow,WS#182,DIC,-14.3,0.1,permil,NA,NA,,,,0.9105,0.0054,fraction modern,-96,10.8,permil,754,24,,40.35964669,-81.78150814,USA,N,1.0508,0.8665,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.288,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
302,2256,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Forested,25/10/2009,-41.43821736,4,2009,Stream Base Flow,WS#172,DIC,-11.7,0.1,permil,NA,NA,,,,0.8934,0.0062,fraction modern,-113,12.4,permil,907,28,,40.36596491,-81.80418227,USA,N,1.0508,0.8502,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.177,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
303,2257,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Large mixed land use,25/04/2009,-41.42434084,4,2009,Stream Base Flow,The North Appalachian Experimental Watershed,DIC,-12.2,0.1,permil,NA,NA,,,,0.85,0.0049,fraction modern,-156,9.7,permil,1304,23,,40.35925687,-81.78359771,USA,N,1.0508,0.809,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,1.515,2,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
304,2258,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Small mixed land use,25/04/2009,-41.4282231,4,2009,Stream Base Flow,WS#166,DIC,-16.6,0.1,permil,NA,NA,,,,1.0414,NA,,34,NA,,modern,NA,,40.36892054,-81.79714364,USA,N,1.0508,0.9911,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.321,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
305,2259,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Pasture,25/04/2009,-41.42186145,3,2009,Stream Base Flow,WS#182,DIC,-12.3,0.1,permil,NA,NA,,,,0.8601,0.0054,fraction modern,-146,10.6,permil,1210,25,,40.35964669,-81.78150814,USA,N,1.0508,0.8186,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.288,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
306,2260,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Forested,25/04/2009,-41.43821736,4,2009,Stream Base Flow,WS#172,DIC,-13.7,0.1,permil,NA,NA,,,,0.8974,0.006,fraction modern,-109,12,permil,870,27,,40.36596491,-81.80418227,USA,N,1.0508,0.854,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.177,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
307,2261,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Large mixed land use,18/08/2009,-41.42434084,4,2009,Stream Base Flow,The North Appalachian Experimental Watershed,DIC,-13.5,0.1,permil,NA,NA,,,,0.987,0.0064,fraction modern,-20,12.7,permil,105,26,,40.35925687,-81.78359771,USA,N,1.0508,0.9393,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,1.515,2,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
308,2262,"Kelsey, S., Grottoli, A., Bauer, J., Lorenz, K., Lal, R., Matsui, Y. and Huey-Sanders, T. (2020). Effects of agricultural and tillage practices on isotopic signatures and fluxes of organic and inorganic carbon in headwater streams. Aquatic Sciences, 82: 23.",https://doi.org/10.1007/s00027-019-0691-7,Small mixed land use,18/08/2009,-41.4282231,4,2009,Stream Base Flow,WS#166,DIC,-13.9,0.1,permil,NA,NA,,,,0.9296,0.0056,fraction modern,-77,11,permil,586,24,,40.36892054,-81.79714364,USA,N,1.0508,0.8847,River,Acidified with orthophosphoric acid and sparaged with He to extract CO2,,NA,C,A,0.321,0,small,10,12.1,0.141,0,321,54,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12245,0,76,321,98,972,95,9,0,100,56,18,0,0,0,18,41,41,33,0,12244,0,76,273,4,6,3,NA
